OBJECTID_1;NG;EG;dane_graw_tcr_v2_TCR
1380;356493.778322;326156.755834;0.02701287002921459
1381;353344.511532;325212.808849;0.06750476263522152
1382;355608.10341;322213.924236;0.03261881195160574
1383;353172.97978099994;321851.081243;0.061530677075737755
1384;353648.931404;320704.92315;0.060792552480478185
1389;357430.626726;322414.682888;0.018505566658225225
1390;359607.49237;323280.117759;0.041458535791171744
1803;358273.286758;329760.429319;0.06409613004768148
1804;356265.881982;331444.596941;0.04384670011632206
1805;357526.134054;331645.404432;0.014167968750451324
1806;355196.291046;331045.708092;0.06375805813100303
1807;356632.653892;333674.155209;0.03055987454264482
1808;355789.397339;332491.964496;0.1418566197907393
1809;354928.144245;334029.567793;0.1354454923891774
1810;354574.892432;335777.402596;0.12772964308101858
1811;354047.922853;334850.243705;0.01699434695276207
1812;358122.72858700005;338159.264701;0.018316437090648247
1813;357721.063571;340075.444167;0.005021926190957
1814;354403.44178;340243.927222;0.012247998901778185
1815;357117.548486;335902.822277;0.05564000961292243
1816;358876.185376;334899.458375;0.06630674392689154
1818;359098.48228699993;340177.516608;0.06285834482939404
1820;357219.321143;327984.912888;0.02956463127141356
1821;353526.194028;330870.487622;0.05318939299309223
1822;358276.880748;332999.319266;0.0421338683687671
1823;359769.244324;329445.483433;0.04275958342175653
1824;354826.024235;329450.095927;0.13640736421692312
1825;353394.902215;329421.28458;0.1507434934980985
1826;355550.40339;328186.55073;0.03454394539771702
1827;358232.2642910001;329955.964889;0.008076810988058588
1828;358479.086903;328891.152509;0.03604233735860366
1829;358178.447062;337177.918224;0.01660549174170087
1831;359315.037472;326418.816208;0.01626979148348189
1832;354958.425681;325521.929665;0.06648335315028388
1833;358321.860166;326426.240238;0.05208931083290516
1834;359045.876552;326838.361703;0.0006193658553724581
1835;353393.88997399993;324797.368981;0.014789740253149835
1840;354855.42577;333440.466814;0.12683106428880356
1841;353735.351137;333552.939852;0.004078942877048448
1842;359643.821259;339190.7891;0.0013670465047624445
1843;355859.885323;340006.709281;0.03171154615742173
1844;354320.038127;339704.828658;0.07720757762058544
1845;355133.801152;337015.53167;0.04912635192100591
1846;355696.4338729999;338088.167611;0.009258502316007866
1857;358506.036944;320429.208251;0.1623041111863591
1874;357684.627146;321997.877899;0.05535682858730136
1875;358873.629989;321362.15105199994;0.14173027192777213
1876;359816.629342;322790.92873300007;0.6150911765369769
1884;358734.266463;346214.069465;0.06279411947760455
1885;357188.101686;340892.931607;0.045905839662668466
1886;358092.155169;347301.830674;0.05005618388828304
1887;357023.067594;343888.038837;0.09032957751048125
1888;356674.106142;343745.1564740001;0.08901948562335533
2922;357650.201406;339574.860922;0.04974749432705487
2923;358366.275883;337948.102941;0.012233179260241608
2932;354780.384875;339874.560839;0.06736937478662484
2933;356416.729413;344206.288619;0.035146319473148765
2934;355340.387234;343985.702701;0.018451441247900033
2935;352288.752789;339372.491906;0.00025039046431261247
2936;351847.15975799994;343382.69085699995;0.013257528548997604
2937;351948.207148;344317.712202;0.0341698075665337
2938;352379.832774;346260.426479;0.135629580457534
2939;354076.293618;343941.804136;0.10840815999203358
2948;359477.487688;345490.848261;0.012032560870618129
2951;358729.60767;344979.001578;0.017497838594876743
3200;355882.222204;345922.581384;0.03456650233137981
3201;359679.085352;346349.674096;0.06158248546719277
3202;352539.336333;347593.013322;0.08320727792004884
3204;354624.787995;350134.282791;0.182269106040145
3205;358190.981907;348602.582568;0.05036513231758853
3206;357059.388504;350143.515695;0.09225977549770838
3207;358194.15464600007;349550.655876;0.04792355484905639
3208;358183.920438;347896.219781;0.0401921351828278
3209;357720.317795;347549.341074;0.07182999983353426
3211;359370.306026;348695.173734;0.009999889465868302
4502;335608.722956;327277.088984;0.028802292930784863
4503;335430.741556;330037.880751;0.11838223205052298
4504;336508.872561;328676.34085100004;0.043453880501506996
4505;337641.893433;329078.658458;0.01119849285816833
4506;337246.446088;331353.287493;0.040951265480839674
4507;333618.578744;324764.601977;0.12152050287435935
4508;332494.447029;329198.204653;0.026563867924562674
4510;329917.2279049999;325905.447582;0.21414001185798726
4511;334700.724633;327743.309821;0.11984059959794467
4513;332447.056292;324364.16426;0.059159610955259186
4514;338271.4144339999;330451.811214;0.03391478319785134
4515;333095.150515;326592.613806;0.16957850559616083
4516;330999.833624;328288.843995;0.1206615956938923
4517;331235.490423;326897.174467;0.22441601806169204
4518;331064.54866;327556.665576;0.10171632292331362
4519;334519.332016;329440.712239;0.05324718932178366
4520;331113.141163;327437.914405;0.10158020280361824
4524;333361.293637;330593.752156;0.0734060157761798
4525;335478.720292;332082.354215;0.33999846115787125
4526;332684.725733;331982.058891;0.013856657701890795
4527;331195.744298;335564.176716;0.2771635195317603
4529;332275.932969;338038.025948;0.19563233524418627
4532;330361.226991;341490.398586;0.5323941911247732
4535;331517.211107;335920.730811;0.16129567263661568
4537;336058.757433;328969.711104;0.05000388783241559
4538;337300.852002;333386.851905;0.08361568633820946
4539;336585.769586;332122.579085;0.11254241221229812
4540;335751.036631;329359.04374600004;0.03592073156002664
4541;337606.354645;334340.586156;0.16697351988702103
4542;338136.557126;336985.7022589999;0.23358957783518636
4543;333973.210859;331663.35633399995;0.29258817137922927
4545;334702.0210499999;333075.704682;0.0794806127429474
4546;340749.970963;327464.60394;0.14987539252946602
4547;343485.588064;326749.31023;0.17913327677831822
4548;345107.646486;325961.476777;0.11554813960899242
4549;346368.525875;325261.36716;0.15474749817733735
4550;345269.758843;324687.82181;0.33721089666203
4551;347302.211761;326751.81898100005;0.1697058807260088
4552;341416.272903;322416.364307;0.1416776513618177
4553;341792.203266;324027.864056;0.13193709322779015
4554;344599.797974;327233.8643240001;0.4556390839444037
4555;343414.62156199996;328595.498679;0.08075017650323575
4556;337461.5469329999;325001.533834;0.20291492663640523
4557;336045.808541;324595.081632;0.07017709701983328
4558;339194.83352;325771.3753559999;0.12457096388330773
4559;340575.02402600006;326610.195063;0.07794584495436654
4560;341652.24137700006;328116.2934600001;0.17617165906738233
4561;345949.705544;331462.340575;0.0690758055718257
4562;342330.768874;327560.582849;0.31348689311868405
4563;340806.730329;324888.51979;0.23851497691456056
4564;345985.762571;329970.225066;0.053924312900120494
4565;343384.95131199993;329603.684789;0.2452153686794971
4566;343452.335147;325318.751317;0.012450391405179955
4567;349475.048652;330683.54153999995;0.031160884063840787
4568;349627.403465;330663.593883;0.020226359713454215
4569;341454.869867;328601.330216;0.15203706026053096
4570;338213.491925;327961.413407;0.03527600848334167
4571;339223.768303;331071.28916;0.0442293175000317
4572;338997.79254;332298.456329;0.14423850005826075
4573;339216.720382;329438.88608;0.11533753524594224
4574;340238.785545;328743.870119;0.16047483688657524
4575;342478.789142;330023.850716;0.11082846600573411
4576;343858.994454;332665.122637;0.17046602686279042
4577;340369.862569;332288.815557;0.11861153854493309
4578;343600.568839;333173.335383;0.053291960243544566
4579;343936.24549;335964.146759;0.04462263647143299
4580;342699.590098;334489.936101;0.016586433157908986
4581;345929.75674;332720.115835;0
4582;348454.86305800005;332583.20392799994;0.11811309987624072
4583;348619.764278;331598.713863;0.016640856109650055
4584;348561.0969;330734.673659;0.05207625672534577
4585;349734.790732;330804.541711;0.029941423967446288
4586;346324.391319;326968.23432;0.39431547527286526
4587;350707.96478;327225.08732;0.1721174485964174
4588;332174.384629;337199.88251;0.8880105566470098
4590;331947.860057;339260.123325;1.270994440070162
4591;334120.002718;342590.388097;0.38983679751809885
4592;332712.414293;338786.29824100004;3.3648350995683236
4593;332062.066008;343589.631743;0.5268123329295296
4594;336760.028952;347108.284765;0.1751715494037553
4595;331784.12601500005;345468.463514;0.6230159392145622
4596;338073.98575;349388.440172;0.006468126672677955
4597;330136.157306;347125.3050110001;0.5524182127322281
4598;331032.179794;344138.794706;0.34715319447796855
4599;334198.805209;346712.511054;0.11953511550869869
4600;331533.326088;350112.51612;1.810156452182999
4601;331565.687295;344799.237741;0.24291043170880397
4602;335142.930497;342389.455031;0.13344392374957895
4603;337548.102795;349191.185492;0.024123699141442276
4604;334294.081833;347293.492089;0.25220539710845286
4605;335757.714709;348100.655955;0.10448326202937909
4606;332750.597233;349535.686386;0.055967591168390125
4607;330331.246512;347374.728242;0.22089547204529258
4608;330854.110504;345142.789953;0.3325138663373354
4609;330862.720344;345304.932604;0.08992717879240876
4610;336498.770384;349108.595101;0.0636726384774583
4611;339015.642928;349229.850407;0.045375068408311466
4612;338494.422625;346832.979275;0.13679523371969873
4615;330719.651687;347987.693256;0.2836229913659625
4616;330879.245656;345961.687474;0.16890206946874362
4617;331548.75744;344614.741784;0.3316354706641435
4618;334663.030723;341835.087422;0.11400874861704927
4619;336599.458036;340193.648748;1.0450727436819895
4620;336035.315313;340826.737375;0.5676799967549198
4621;334185.49886;339121.275336;0.007026097667594668
4622;333836.523953;339543.817449;0.001096480301421754
4623;337065.81846900005;345234.526017;0.17179550533232238
4624;335116.765632;345221.348129;0.07518988406141039
4625;330227.084395;338516.438812;1.0409726934251766
4626;334287.2676;339851.021208;0.7427608840776723
4627;332303.731493;342128.089926;0.08790412758724041
4628;334338.883815;342764.281084;0.7426841121117846
4629;330916.479787;341693.815022;0.24366164425487735
4630;342951.112137;345098.349393;0.018920607948493803
4631;345982.675359;348464.114788;0.060879795888956395
4632;343138.701292;343563.981029;0.1494368506975556
4633;348991.89256899996;344797.059093;0.03764157303799099
4634;345675.700782;340345.21906699997;0.16256733333772397
4635;344449.411694;343360.071646;0.0495496306091315
4636;341361.565199;341533.03175;0.0315219172900997
4637;345960.437652;347726.4331980001;0.0512599664599145
4638;346473.173631;343852.607572;0.06531101526982973
4639;347679.56609;345231.95539;0.13756593005040454
4640;346938.563611;345860.55559;0.0029746379154177143
4641;346007.957453;346305.07531;0.05857214907006885
4642;340579.970156;339466.036872;0.08854975445280748
4643;340717.763572;341354.613331;0.031584147022032265
4644;340942.047492;338775.387454;0.010157960380708417
4645;341932.588466;336654.277688;0.30273582914805436
4646;343436.317267;341768.087729;0.11960437453899522
4647;342443.461058;340805.715045;0.03328482569088972
4648;341586.403459;337088.565989;0.10123159656313005
4649;337961.307053;341596.154578;0.27645440339875194
4650;339648.3875559999;345513.810598;0.030576205285359336
4651;338754.234132;342382.59444099996;0.15481233972096936
4652;336646.795766;344493.407236;0.0620020001943777
4654;342434.60395;349424.855197;0.005171259311642663
4655;344555.848579;349129.261834;0.023407802294839783
4656;341140.656191;346629.082979;0.0007723018874895629
4657;341879.569169;346530.702084;0.006133133437582581
4658;337807.999115;344507.552762;0.052310692388889905
4659;338684.845202;346895.131818;0.026008932981047086
4660;341758.782048;344102.804451;0.029059082998946446
4661;343067.782985;343125.034621;0.030064997400157972
4662;339050.462746;338122.365747;0.018186245002409583
4663;340029.935285;341540.52751;0.2226027594112917
4664;338987.305788;338888.71413399995;0.2670469370878987
4665;336425.509443;337131.179413;0.7320669474596972
4666;336296.257325;339093.83879;0.2864618578394255
4667;342269.399699;344014.255894;0.013399593375653274
4668;335060.536109;339493.596384;1.7610605973122357
4669;340015.114752;342328.3814;0.10266222324051877
4670;337506.246155;340998.06445;1.7244721201628923
4671;335629.163213;337020.250502;0.6659188057551507
4672;338110.959769;339052.055925;0.35482998354527084
4681;354028.615613;320806.50427;0.032836133687633856
4682;350929.423696;322005.639285;0.07699041302675894
4691;349893.127387;320432.706531;0.09088635519693884
4692;351637.3795730001;322387.182412;0.026169966875299253
4693;352538.948366;322236.009332;0.013763588655168068
4694;349716.3853830001;324768.433502;0.023550507297270103
4695;347913.051392;324952.792097;0.3694065620843319
4696;345042.711061;320954.216675;0.022134620761563032
4698;343599.381124;320374.850612;0.03354419418206789
4699;346169.889656;320598.717258;0.15051269625096178
4701;347267.445152;321577.64248;0.129197361761385
4702;347018.741418;320853.364319;0.24415238597351155
4703;343337.784619;320643.205703;0.1932865192417279
4704;347220.634734;325343.279456;0.24513640430979353
4705;347441.41977;323845.883131;0.6704373312730789
4706;351719.558683;325162.538725;0.03446832055998058
4707;349851.611175;322605.063661;0.06968643732456703
4708;350859.296268;325686.199871;0.025588960024958203
4709;350626.713552;326443.908467;0.014206201549208217
4710;348201.607638;324162.568366;0.08713239718162662
4711;354687.824796;326219.238169;0.005954022717035961
4712;352494.38085300004;323295.498113;0.055916460407202
4713;352170.23740899994;322148.242952;0.06510412237145843
4719;344849.14701499994;321677.807243;0.033868084152955315
4725;340958.397943;326280.256446;0.17883562895990748
4726;339002.680453;322379.01722399995;0.12602959948989925
4727;341403.192958;321728.707924;0.14178478601140004
4728;341221.555637;322534.916133;0.20573282546993588
4729;342115.448003;323480.612849;0.03337750750999708
4730;339044.499112;326564.217687;0.3092262463019546
4731;337042.845425;323275.338045;0.013837387525807328
4732;338705.853651;323385.27020200004;0.017668437556300553
4733;336060.675573;320404.797881;0.01458599444440852
4735;337650.750909;320266.20337199996;0.13467358815148786
4737;343369.220955;322644.501733;0.038540082373964064
4738;344036.490356;323861.820823;0.03368308046418233
4739;344414.365943;322435.017247;0.006732400710421542
4741;340467.504241;322505.012091;0.23651599560257844
4742;338029.206032;322388.007817;0.05773890649745797
4743;339086.887557;322357.660311;0.2034908791423757
4744;341536.476812;322570.28692;0.1631026214906204
4747;340565.26991499995;321193.1635380001;0.08590586357008606
4754;335375.335575;325034.712526;0.011714285173901723
4755;330486.323773;322548.211469;0.08214682955376557
4756;334258.67148600006;322520.047162;0.19796590731572042
4757;336021.435004;323703.423624;0.2646631494735255
4758;335852.173034;335490.989658;0.013742539119810321
4759;337988.397946;335224.553755;0.13456130918964732
4760;346602.041613;332230.193384;0.135255623542617
4761;352490.621605;335559.78348499996;0.10086702143590213
4762;351980.878013;334641.853002;0.07638843377929992
4763;349768.31839;335411.309488;0.12984908380353977
4764;347956.901861;333260.03019799996;0.23522027792400937
4765;346795.618006;335490.688057;0.0003568002474879244
4766;348099.860417;334950.59679999994;0.010059166146137359
4767;347673.543402;335799.75899;0.019858250177509307
4768;344462.346776;338940.742259;0.0013144778969086733
4769;338449.988239;341452.780731;0.39920536093633857
4770;338114.586131;343109.640716;0.32731646444983
4771;337167.200039;342366.400204;0.009873640264122406
4772;337887.020198;344269.456757;0.19443546389406058
4774;340586.53916200006;347268.096399;0.0033628506412521648
4775;336079.870207;332789.76898199995;0.212236513444427
4776;338661.758709;333532.66908;0.08788109925516659
4777;338805.974461;336544.763083;0.008368256356995613
4778;333065.511265;334315.883411;0.07433335164834282
4779;331219.43732300005;333056.002755;0.10216634989613181
4782;331360.3964530001;335970.26625;0.18367917046926183
4783;331183.385263;334814.930237;1.034254400611651
4784;335806.57977;334399.884404;0.13713092600660554
4785;336088.697083;337355.604697;0.7759645731064453
4786;336211.399803;338894.662752;0.1657194457481732
4787;333485.203261;336833.610302;0.4158068304181525
4788;339157.497441;336819.353232;0.4274213768349503
4789;341220.694206;334757.164393;0.18358389392883576
4790;340419.72561100003;336217.625278;0.018357068699426007
4791;339514.876104;338711.21413;0.19148982313148002
4792;351331.87832;326034.732685;0.11813628567539243
4793;349754.886429;324762.2065309999;0.019192261646926147
4794;348393.223424;325061.929242;0.11314305331917401
4795;348906.0531620001;326768.613996;0.35951970348909784
4796;351806.183202;330518.553268;0.007398273378350136
4797;349574.980016;327359.002785;0.015026962441757975
4798;351617.082316;329281.583884;0.0486433867085047
4799;351415.868555;329889.095378;0.11394680109591086
4800;351249.434267;332794.143142;0.1752725857976931
4801;350380.111282;330566.436124;0.050068016587364254
4802;341136.302999;334196.03295599995;0.00957672712685749
4803;344890.944536;335246.269974;0.04076301685003591
4804;340523.8653100001;333594.334833;0.014233235076618342
4805;341014.320847;335386.671291;0.035586625942222325
4806;342947.573398;335533.774643;0.15171653629979096
4807;341421.9541769999;335458.841347;0.2125601060058934
4808;343078.807806;332151.82655;0.08486011587123553
4809;342838.91089799994;331896.678155;0.0240563344308673
4810;341794.409486;338274.690985;0.027563679520257272
4811;342329.85469;338376.829788;0.10939364219493834
4812;340506.913734;336254.953065;0.10359261263412806
4813;346114.668362;334274.21789;0.0026382074762363074
4814;345268.948925;335463.2618890001;0.12779056069031244
4815;346771.869453;338809.668364;0.05121172004574745
4816;347920.787942;341405.325174;0.1383400427391417
4817;344165.494389;337633.275283;0.11370209510015293
4818;348935.542487;338835.476716;0.01583080858245558
4819;348551.412429;339355.877523;0.004421888673748306
4820;347124.201202;342010.088969;0.10816150701142975
4821;348804.506746;342309.094888;0.11848728187420228
4823;340623.910099;347735.671414;0.07581652669782633
4824;335744.868793;347389.061913;0.022284770162198868
4825;352122.863666;342283.339094;0.000684917007252552
4826;350417.298337;342096.264194;0.031555926160138005
4827;350632.954118;343842.296989;0.14387736200338858
4828;349879.858006;344242.557861;0.1567779965612281
4829;350008.297599;345204.472478;0.15667997979594211
4830;347480.439799;343352.657418;0.03134246387078123
4831;351068.564419;345828.596892;0.0989805564970314
4832;351131.593182;343861.440658;0.01084920403225389
4833;349411.489814;346362.3994110001;0.09898694373721263
4834;346253.689174;345217.025544;0.09239257872641818
4835;353161.3913920001;348806.929918;0.049129063506597556
4836;350252.650386;347676.731468;0.01842765817152471
4837;349169.313086;345546.791183;0.024621992375808668
4838;345294.201137;349356.809087;0.03218324671400871
4839;344796.036099;346725.164689;0.05025479983733275
4840;350553.189195;347879.553338;0.011737500072479931
4845;329987.534789;339001.556808;1.710044911145761
4851;330372.7366129999;344937.725639;0.43156682266901225
4854;330209.6038820001;348567.44619;0.3237417744571503
4865;349910.987658;336393.755085;0.21936261302833404
4866;352438.149085;331084.435863;0.05443971592072879
4867;350040.295101;331323.14519199997;0.02692356778584431
4868;351347.942362;334394.461753;0.008535781323657583
4869;349251.733733;336699.235809;0.24407134655806456
4870;350061.785101;334128.55643699993;0.029909789319227675
4871;354045.02791;340667.067354;0.06740357242696622
4872;349916.19860500004;340191.798205;0.09235796155943592
4873;350193.342697;339475.618979;0.13386736912321703
4874;352224.429253;344597.632275;0.019014787448642097
4875;350442.641779;338674.647571;0.03996153740264723
4876;353169.434501;342702.932849;0.0595707296450567
4877;351846.357306;343480.366682;0.14071478630495318
4878;350272.193985;349471.57498900004;0.22641326697130937
4879;343940.250179;347739.133861;0.023846825959352374
4880;347203.207419;348270.414404;0.018013942390832316
4881;349443.764839;349750.194795;0.0987779038793198
4882;347576.323114;347084.749847;0.026270151101514278
4883;347562.379936;348690.446531;0.015179507893731214
4884;330241.944704;335174.617098;1.4621246410006106
4896;330931.756078;323675.967744;0.08742017805396686
4903;329923.645913;323454.715539;0.993265708700539
4914;330194.314582;321613.05526699993;0.9062357046851253
4915;331094.189621;321653.168634;0.11377580826725386
4916;333731.872437;324584.35963;0.15942781641540082
4917;334840.248761;323276.95046;0.16350924682584606
4924;331630.330864;323858.989895;0.09031503114328517
4925;336154.034938;321770.895922;0.10220986185752863
4940;332718.68266;320607.254828;0.21778343926825386
4944;332368.309863;323215.183569;0.11290312857171385
4945;330243.141181;347171.33044800005;0.19882430916225383
4947;339747.149838;349937.68725;0.4740455976861324
4956;336765.507824;350113.240193;0.17304122838136723
4958;338528.156514;349233.920771;0.08337876391153405
4966;333877.140698;349313.588891;0.050556135912837294
4967;335289.760697;349932.992388;0.14852267378400166
5110;344359.514015;349419.648011;0.0581565877173578
5140;346972.930408;350153.237196;0.024989754028710155
